Question_No,Question,Acceptance,isPremium,Question_Link,Solution,Tags
3030, Find the Grid of Region Average,44.00%,FALSE,https://leetcode.com/problems/find-the-grid-of-region-average/description,https://leetcode.com/problems/find-the-grid-of-region-average/solutions,Edge Case Intensive
3031, Minimum Time to Revert Word to Initial State II,35.60%,FALSE,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-ii/description,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-ii/solutions,Hard
3032, Count Numbers With Unique Digits II,87.50%,TRUE,https://leetcode.com/problems/count-numbers-with-unique-digits-ii/description,https://leetcode.com/problems/count-numbers-with-unique-digits-ii/solutions,Easy
3033, Modify the Matrix,68.70%,FALSE,https://leetcode.com/problems/modify-the-matrix/description,https://leetcode.com/problems/modify-the-matrix/solutions,Easy
3034, Number of Subarrays That Match a Pattern I,67.10%,FALSE,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i/description,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i/solutions,Edge Case Intensive
3035, Maximum Palindromes After Operations,42.90%,FALSE,https://leetcode.com/problems/maximum-palindromes-after-operations/description,https://leetcode.com/problems/maximum-palindromes-after-operations/solutions,Edge Case Intensive
3036, Number of Subarrays That Match a Pattern II,32.80%,FALSE,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-ii/description,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-ii/solutions,Hard
3037, Find Pattern in Infinite Stream II,69.70%,TRUE,https://leetcode.com/problems/find-pattern-in-infinite-stream-ii/description,https://leetcode.com/problems/find-pattern-in-infinite-stream-ii/solutions,Hard
3038, Maximum Number of Operations With the Same Score I,52.30%,FALSE,https://leetcode.com/problems/maximum-number-of-operations-with-the-same-score-i/description,https://leetcode.com/problems/maximum-number-of-operations-with-the-same-score-i/solutions,Easy
3039, Apply Operations to Make String Empty,56.90%,FALSE,https://leetcode.com/problems/apply-operations-to-make-string-empty/description,https://leetcode.com/problems/apply-operations-to-make-string-empty/solutions,Edge Case Intensive
3040, Maximum Number of Operations With the Same Score II,33.60%,FALSE,https://leetcode.com/problems/maximum-number-of-operations-with-the-same-score-ii/description,https://leetcode.com/problems/maximum-number-of-operations-with-the-same-score-ii/solutions,Tricky
3041, Maximize Consecutive Elements in an Array After Modification,32.40%,FALSE,https://leetcode.com/problems/maximize-consecutive-elements-in-an-array-after-modification/description,https://leetcode.com/problems/maximize-consecutive-elements-in-an-array-after-modification/solutions,Hard
3041, Maximize Consecutive Elements in an Array After Modification,32.40%,FALSE,https://leetcode.com/problems/maximize-consecutive-elements-in-an-array-after-modification/description,https://leetcode.com/problems/maximize-consecutive-elements-in-an-array-after-modification/solutions,MultiConcept
3042, Count Prefix and Suffix Pairs I,65.70%,FALSE,https://leetcode.com/problems/count-prefix-and-suffix-pairs-i/description,https://leetcode.com/problems/count-prefix-and-suffix-pairs-i/solutions,Easy
3043, Find the Length of the Longest Common Prefix,36.60%,FALSE,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix/description,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix/solutions,Tricky
3044, Most Frequent Prime,48.40%,FALSE,https://leetcode.com/problems/most-frequent-prime/description,https://leetcode.com/problems/most-frequent-prime/solutions,Edge Case Intensive
3045, Count Prefix and Suffix Pairs II,25.30%,FALSE,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii/description,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii/solutions,Hard
3045, Count Prefix and Suffix Pairs II,25.30%,FALSE,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii/description,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii/solutions,Optimization Required
3046, Split the Array,58.90%,FALSE,https://leetcode.com/problems/split-the-array/description,https://leetcode.com/problems/split-the-array/solutions,Easy
3046, Split the Array,58.90%,FALSE,https://leetcode.com/problems/split-the-array/description,https://leetcode.com/problems/split-the-array/solutions,MultiConcept
3047, Find the Largest Area of Square Inside Two Rectangles,45.50%,FALSE,https://leetcode.com/problems/find-the-largest-area-of-square-inside-two-rectangles/description,https://leetcode.com/problems/find-the-largest-area-of-square-inside-two-rectangles/solutions,Edge Case Intensive
3048, Earliest Second to Mark Indices I,36.30%,FALSE,https://leetcode.com/problems/earliest-second-to-mark-indices-i/description,https://leetcode.com/problems/earliest-second-to-mark-indices-i/solutions,Tricky
3049, Earliest Second to Mark Indices II,22.60%,FALSE,https://leetcode.com/problems/earliest-second-to-mark-indices-ii/description,https://leetcode.com/problems/earliest-second-to-mark-indices-ii/solutions,Hard
3049, Earliest Second to Mark Indices II,22.60%,FALSE,https://leetcode.com/problems/earliest-second-to-mark-indices-ii/description,https://leetcode.com/problems/earliest-second-to-mark-indices-ii/solutions,Optimization Required
3050, Pizza Toppings Cost Analysis,65.70%,TRUE,https://leetcode.com/problems/pizza-toppings-cost-analysis/description,https://leetcode.com/problems/pizza-toppings-cost-analysis/solutions,Edge Case Intensive
3051, Find Candidates for Data Scientist Position,74.80%,TRUE,https://leetcode.com/problems/find-candidates-for-data-scientist-position/description,https://leetcode.com/problems/find-candidates-for-data-scientist-position/solutions,Easy
3052, Maximize Items,74.30%,TRUE,https://leetcode.com/problems/maximize-items/description,https://leetcode.com/problems/maximize-items/solutions,Hard
3053, Classifying Triangles by Lengths,49.50%,TRUE,https://leetcode.com/problems/classifying-triangles-by-lengths/description,https://leetcode.com/problems/classifying-triangles-by-lengths/solutions,Easy
3054, Binary Tree Nodes,81.40%,TRUE,https://leetcode.com/problems/binary-tree-nodes/description,https://leetcode.com/problems/binary-tree-nodes/solutions,Edge Case Intensive
3055, Top Percentile Fraud,60.40%,TRUE,https://leetcode.com/problems/top-percentile-fraud/description,https://leetcode.com/problems/top-percentile-fraud/solutions,Edge Case Intensive
3056, Snaps Analysis,57.70%,TRUE,https://leetcode.com/problems/snaps-analysis/description,https://leetcode.com/problems/snaps-analysis/solutions,Edge Case Intensive
3057, Employees Project Allocation,68.50%,TRUE,https://leetcode.com/problems/employees-project-allocation/description,https://leetcode.com/problems/employees-project-allocation/solutions,Hard
3058, Friends With No Mutual Friends,50.30%,TRUE,https://leetcode.com/problems/friends-with-no-mutual-friends/description,https://leetcode.com/problems/friends-with-no-mutual-friends/solutions,Edge Case Intensive
3059, Find All Unique Email Domains,67.70%,TRUE,https://leetcode.com/problems/find-all-unique-email-domains/description,https://leetcode.com/problems/find-all-unique-email-domains/solutions,Easy
3060, User Activities within Time Bounds,39.70%,TRUE,https://leetcode.com/problems/user-activities-within-time-bounds/description,https://leetcode.com/problems/user-activities-within-time-bounds/solutions,Hard
3061, Calculate Trapping Rain Water,78.00%,TRUE,https://leetcode.com/problems/calculate-trapping-rain-water/description,https://leetcode.com/problems/calculate-trapping-rain-water/solutions,Hard
3062, Winner of the Linked List Game,80.20%,TRUE,https://leetcode.com/problems/winner-of-the-linked-list-game/description,https://leetcode.com/problems/winner-of-the-linked-list-game/solutions,Easy
3063, Linked List Frequency,85.80%,TRUE,https://leetcode.com/problems/linked-list-frequency/description,https://leetcode.com/problems/linked-list-frequency/solutions,Easy
3064, Guess the Number Using Bitwise Questions I,90.20%,TRUE,https://leetcode.com/problems/guess-the-number-using-bitwise-questions-i/description,https://leetcode.com/problems/guess-the-number-using-bitwise-questions-i/solutions,Edge Case Intensive
3065, Minimum Operations to Exceed Threshold Value I,86.30%,FALSE,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-i/description,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-i/solutions,Easy
3066, Minimum Operations to Exceed Threshold Value II,28.00%,FALSE,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-ii/description,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-ii/solutions,Tricky
3066, Minimum Operations to Exceed Threshold Value II,28.00%,FALSE,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-ii/description,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-ii/solutions,Optimization Required
3089, Find Bursty Behavior,40.30%,FALSE,https://leetcode.com/problems/find-bursty-behavior/description,https://leetcode.com/problems/find-bursty-behavior/solutions,Edge Case Intensive
3090, Maximum Length Substring With Two Occurrences,64.00%,FALSE,https://leetcode.com/problems/maximum-length-substring-with-two-occurrences/description,https://leetcode.com/problems/maximum-length-substring-with-two-occurrences/solutions,Easy
3090, Maximum Length Substring With Two Occurrences,64.00%,FALSE,https://leetcode.com/problems/maximum-length-substring-with-two-occurrences/description,https://leetcode.com/problems/maximum-length-substring-with-two-occurrences/solutions,MultiConcept
3091, Apply Operations to Make Sum of Array Greater Than or Equal to k,44.60%,FALSE,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k/description,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k/solutions,Edge Case Intensive
3091, Apply Operations to Make Sum of Array Greater Than or Equal to k,44.60%,FALSE,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k/description,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k/solutions,MultiConcept
3092, Most Frequent IDs,42.80%,FALSE,https://leetcode.com/problems/most-frequent-ids/description,https://leetcode.com/problems/most-frequent-ids/solutions,Edge Case Intensive
3093, Longest Common Suffix Queries,40.90%,FALSE,https://leetcode.com/problems/longest-common-suffix-queries/description,https://leetcode.com/problems/longest-common-suffix-queries/solutions,Hard
3094, Guess the Number Using Bitwise Questions II,81.60%,TRUE,https://leetcode.com/problems/guess-the-number-using-bitwise-questions-ii/description,https://leetcode.com/problems/guess-the-number-using-bitwise-questions-ii/solutions,Edge Case Intensive
3095, Shortest Subarray With OR at Least K I,41.30%,FALSE,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-i/description,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-i/solutions,Easy
3096, Minimum Levels to Gain More Points,40.80%,FALSE,https://leetcode.com/problems/minimum-levels-to-gain-more-points/description,https://leetcode.com/problems/minimum-levels-to-gain-more-points/solutions,Edge Case Intensive
3097, Shortest Subarray With OR at Least K II,30.50%,FALSE,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-ii/description,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-ii/solutions,Tricky
3098, Find the Sum of Subsequence Powers,24.70%,FALSE,https://leetcode.com/problems/find-the-sum-of-subsequence-powers/description,https://leetcode.com/problems/find-the-sum-of-subsequence-powers/solutions,Hard
3098, Find the Sum of Subsequence Powers,24.70%,FALSE,https://leetcode.com/problems/find-the-sum-of-subsequence-powers/description,https://leetcode.com/problems/find-the-sum-of-subsequence-powers/solutions,Optimization Required
3099, Harshad Number,83.00%,FALSE,https://leetcode.com/problems/harshad-number/description,https://leetcode.com/problems/harshad-number/solutions,Easy
3100, Water Bottles II,63.90%,FALSE,https://leetcode.com/problems/water-bottles-ii/description,https://leetcode.com/problems/water-bottles-ii/solutions,Edge Case Intensive
3101, Count Alternating Subarrays,57.30%,FALSE,https://leetcode.com/problems/count-alternating-subarrays/description,https://leetcode.com/problems/count-alternating-subarrays/solutions,Edge Case Intensive
3102, Minimize Manhattan Distances,32.80%,FALSE,https://leetcode.com/problems/minimize-manhattan-distances/description,https://leetcode.com/problems/minimize-manhattan-distances/solutions,Hard
3103, Find Trending Hashtags II,63.60%,TRUE,https://leetcode.com/problems/find-trending-hashtags-ii/description,https://leetcode.com/problems/find-trending-hashtags-ii/solutions,Hard
3104, Find Longest Self-Contained Substring,56.20%,TRUE,https://leetcode.com/problems/find-longest-self-contained-substring/description,https://leetcode.com/problems/find-longest-self-contained-substring/solutions,Hard
3104, Find Longest Self-Contained Substring,56.20%,TRUE,https://leetcode.com/problems/find-longest-self-contained-substring/description,https://leetcode.com/problems/find-longest-self-contained-substring/solutions,MultiConcept
3105, Longest Strictly Increasing or Strictly Decreasing Subarray,57.10%,FALSE,https://leetcode.com/problems/longest-strictly-increasing-or-strictly-decreasing-subarray/description,https://leetcode.com/problems/longest-strictly-increasing-or-strictly-decreasing-subarray/solutions,Easy
3106, Lexicographically Smallest String After Operations With Constraint,63.70%,FALSE,https://leetcode.com/problems/lexicographically-smallest-string-after-operations-with-constraint/description,https://leetcode.com/problems/lexicographically-smallest-string-after-operations-with-constraint/solutions,Edge Case Intensive
3107, Minimum Operations to Make Median of Array Equal to K,48.70%,FALSE,https://leetcode.com/problems/minimum-operations-to-make-median-of-array-equal-to-k/description,https://leetcode.com/problems/minimum-operations-to-make-median-of-array-equal-to-k/solutions,Edge Case Intensive
3107, Minimum Operations to Make Median of Array Equal to K,48.70%,FALSE,https://leetcode.com/problems/minimum-operations-to-make-median-of-array-equal-to-k/description,https://leetcode.com/problems/minimum-operations-to-make-median-of-array-equal-to-k/solutions,MultiConcept
3108, Minimum Cost Walk in Weighted Graph,46.00%,FALSE,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph/description,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph/solutions,Hard
3109, Find the Index of Permutation,42.60%,TRUE,https://leetcode.com/problems/find-the-index-of-permutation/description,https://leetcode.com/problems/find-the-index-of-permutation/solutions,Edge Case Intensive
3110, Score of a String,93.00%,FALSE,https://leetcode.com/problems/score-of-a-string/description,https://leetcode.com/problems/score-of-a-string/solutions,Easy
3111, Minimum Rectangles to Cover Points,63.80%,FALSE,https://leetcode.com/problems/minimum-rectangles-to-cover-points/description,https://leetcode.com/problems/minimum-rectangles-to-cover-points/solutions,Edge Case Intensive
3112, Minimum Time to Visit Disappearing Nodes,34.90%,FALSE,https://leetcode.com/problems/minimum-time-to-visit-disappearing-nodes/description,https://leetcode.com/problems/minimum-time-to-visit-disappearing-nodes/solutions,Tricky
3113, Find the Number of Subarrays Where Boundary Elements Are Maximum,30.30%,FALSE,https://leetcode.com/problems/find-the-number-of-subarrays-where-boundary-elements-are-maximum/description,https://leetcode.com/problems/find-the-number-of-subarrays-where-boundary-elements-are-maximum/solutions,Hard
3114, Latest Time You Can Obtain After Replacing Characters,35.70%,FALSE,https://leetcode.com/problems/latest-time-you-can-obtain-after-replacing-characters/description,https://leetcode.com/problems/latest-time-you-can-obtain-after-replacing-characters/solutions,Easy
3115, Maximum Prime Difference,58.30%,FALSE,https://leetcode.com/problems/maximum-prime-difference/description,https://leetcode.com/problems/maximum-prime-difference/solutions,Edge Case Intensive
3116, Kth Smallest Amount With Single Denomination Combination,16.90%,FALSE,https://leetcode.com/problems/kth-smallest-amount-with-single-denomination-combination/description,https://leetcode.com/problems/kth-smallest-amount-with-single-denomination-combination/solutions,Hard
3116, Kth Smallest Amount With Single Denomination Combination,16.90%,FALSE,https://leetcode.com/problems/kth-smallest-amount-with-single-denomination-combination/description,https://leetcode.com/problems/kth-smallest-amount-with-single-denomination-combination/solutions,Optimization Required
3117, Minimum Sum of Values by Dividing Array,28.20%,FALSE,https://leetcode.com/problems/minimum-sum-of-values-by-dividing-array/description,https://leetcode.com/problems/minimum-sum-of-values-by-dividing-array/solutions,Hard
3117, Minimum Sum of Values by Dividing Array,28.20%,FALSE,https://leetcode.com/problems/minimum-sum-of-values-by-dividing-array/description,https://leetcode.com/problems/minimum-sum-of-values-by-dividing-array/solutions,Optimization Required
3118, Friday Purchase III,59.80%,TRUE,https://leetcode.com/problems/friday-purchase-iii/description,https://leetcode.com/problems/friday-purchase-iii/solutions,Edge Case Intensive
3119, Maximum Number of Potholes That Can Be Fixed,60.10%,TRUE,https://leetcode.com/problems/maximum-number-of-potholes-that-can-be-fixed/description,https://leetcode.com/problems/maximum-number-of-potholes-that-can-be-fixed/solutions,Edge Case Intensive
3120, Count the Number of Special Characters I,65.80%,FALSE,https://leetcode.com/problems/count-the-number-of-special-characters-i/description,https://leetcode.com/problems/count-the-number-of-special-characters-i/solutions,Easy
3121, Count the Number of Special Characters II,41.60%,FALSE,https://leetcode.com/problems/count-the-number-of-special-characters-ii/description,https://leetcode.com/problems/count-the-number-of-special-characters-ii/solutions,Edge Case Intensive
3122, Minimum Number of Operations to Satisfy Conditions,41.30%,FALSE,https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions/description,https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions/solutions,Edge Case Intensive
3123, Find Edges in Shortest Paths,48.00%,FALSE,https://leetcode.com/problems/find-edges-in-shortest-paths/description,https://leetcode.com/problems/find-edges-in-shortest-paths/solutions,Hard
3124, Find Longest Calls,67.40%,TRUE,https://leetcode.com/problems/find-longest-calls/description,https://leetcode.com/problems/find-longest-calls/solutions,Edge Case Intensive
3125, Maximum Number That Makes Result of Bitwise AND Zero,69.80%,TRUE,https://leetcode.com/problems/maximum-number-that-makes-result-of-bitwise-and-zero/description,https://leetcode.com/problems/maximum-number-that-makes-result-of-bitwise-and-zero/solutions,Edge Case Intensive
3126, Server Utilization Time,58.00%,TRUE,https://leetcode.com/problems/server-utilization-time/description,https://leetcode.com/problems/server-utilization-time/solutions,Edge Case Intensive
3127, Make a Square with the Same Color,51.40%,FALSE,https://leetcode.com/problems/make-a-square-with-the-same-color/description,https://leetcode.com/problems/make-a-square-with-the-same-color/solutions,Easy
3128, Right Triangles,47.80%,FALSE,https://leetcode.com/problems/right-triangles/description,https://leetcode.com/problems/right-triangles/solutions,Edge Case Intensive
3129, Find All Possible Stable Binary Arrays I,27.00%,FALSE,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-i/description,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-i/solutions,Tricky
3129, Find All Possible Stable Binary Arrays I,27.00%,FALSE,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-i/description,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-i/solutions,Optimization Required
3130, Find All Possible Stable Binary Arrays II,28.40%,FALSE,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-ii/description,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-ii/solutions,Hard
3130, Find All Possible Stable Binary Arrays II,28.40%,FALSE,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-ii/description,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-ii/solutions,Optimization Required
3131, Find the Integer Added to Array I,82.30%,FALSE,https://leetcode.com/problems/find-the-integer-added-to-array-i/description,https://leetcode.com/problems/find-the-integer-added-to-array-i/solutions,Easy
3131, Find the Integer Added to Array I,82.30%,FALSE,https://leetcode.com/problems/find-the-integer-added-to-array-i/description,https://leetcode.com/problems/find-the-integer-added-to-array-i/solutions,MultiConcept
3132, Find the Integer Added to Array II,31.30%,FALSE,https://leetcode.com/problems/find-the-integer-added-to-array-ii/description,https://leetcode.com/problems/find-the-integer-added-to-array-ii/solutions,Tricky
3132, Find the Integer Added to Array II,31.30%,FALSE,https://leetcode.com/problems/find-the-integer-added-to-array-ii/description,https://leetcode.com/problems/find-the-integer-added-to-array-ii/solutions,MultiConcept
3133, Minimum Array End,38.10%,FALSE,https://leetcode.com/problems/minimum-array-end/description,https://leetcode.com/problems/minimum-array-end/solutions,Tricky
3133, Minimum Array End,38.10%,FALSE,https://leetcode.com/problems/minimum-array-end/description,https://leetcode.com/problems/minimum-array-end/solutions,MultiConcept
3134, Find the Median of the Uniqueness Array,28.90%,FALSE,https://leetcode.com/problems/find-the-median-of-the-uniqueness-array/description,https://leetcode.com/problems/find-the-median-of-the-uniqueness-array/solutions,Hard
3134, Find the Median of the Uniqueness Array,28.90%,FALSE,https://leetcode.com/problems/find-the-median-of-the-uniqueness-array/description,https://leetcode.com/problems/find-the-median-of-the-uniqueness-array/solutions,Optimization Required
3135, Equalize Strings by Adding or Removing Characters at Ends,56.00%,TRUE,https://leetcode.com/problems/equalize-strings-by-adding-or-removing-characters-at-ends/description,https://leetcode.com/problems/equalize-strings-by-adding-or-removing-characters-at-ends/solutions,Edge Case Intensive
3136, Valid Word,38.00%,FALSE,https://leetcode.com/problems/valid-word/description,https://leetcode.com/problems/valid-word/solutions,Easy
3137, Minimum Number of Operations to Make Word K-Periodic,62.90%,FALSE,https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic/description,https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic/solutions,Edge Case Intensive
3138, Minimum Length of Anagram Concatenation,41.90%,FALSE,https://leetcode.com/problems/minimum-length-of-anagram-concatenation/description,https://leetcode.com/problems/minimum-length-of-anagram-concatenation/solutions,Edge Case Intensive
3139, Minimum Cost to Equalize Array,16.90%,FALSE,https://leetcode.com/problems/minimum-cost-to-equalize-array/description,https://leetcode.com/problems/minimum-cost-to-equalize-array/solutions,Hard
3139, Minimum Cost to Equalize Array,16.90%,FALSE,https://leetcode.com/problems/minimum-cost-to-equalize-array/description,https://leetcode.com/problems/minimum-cost-to-equalize-array/solutions,Optimization Required
3140, Consecutive Available Seats II,62.00%,TRUE,https://leetcode.com/problems/consecutive-available-seats-ii/description,https://leetcode.com/problems/consecutive-available-seats-ii/solutions,Edge Case Intensive
3141, Maximum Hamming Distances,71.70%,TRUE,https://leetcode.com/problems/maximum-hamming-distances/description,https://leetcode.com/problems/maximum-hamming-distances/solutions,Hard
3142, Check if Grid Satisfies Conditions,43.50%,FALSE,https://leetcode.com/problems/check-if-grid-satisfies-conditions/description,https://leetcode.com/problems/check-if-grid-satisfies-conditions/solutions,Easy
3143, Maximum Points Inside the Square,39.00%,FALSE,https://leetcode.com/problems/maximum-points-inside-the-square/description,https://leetcode.com/problems/maximum-points-inside-the-square/solutions,Tricky
3144, Minimum Substring Partition of Equal Character Frequency,41.20%,FALSE,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency/description,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency/solutions,Edge Case Intensive
3144, Minimum Substring Partition of Equal Character Frequency,41.20%,FALSE,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency/description,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency/solutions,MultiConcept
3145, Find Products of Elements of Big Array,25.60%,FALSE,https://leetcode.com/problems/find-products-of-elements-of-big-array/description,https://leetcode.com/problems/find-products-of-elements-of-big-array/solutions,Hard
3145, Find Products of Elements of Big Array,25.60%,FALSE,https://leetcode.com/problems/find-products-of-elements-of-big-array/description,https://leetcode.com/problems/find-products-of-elements-of-big-array/solutions,Optimization Required
3146, Permutation Difference between Two Strings,89.20%,FALSE,https://leetcode.com/problems/permutation-difference-between-two-strings/description,https://leetcode.com/problems/permutation-difference-between-two-strings/solutions,Easy
3147, Taking Maximum Energy From the Mystic Dungeon,40.60%,FALSE,https://leetcode.com/problems/taking-maximum-energy-from-the-mystic-dungeon/description,https://leetcode.com/problems/taking-maximum-energy-from-the-mystic-dungeon/solutions,Edge Case Intensive
3148, Maximum Difference Score in a Grid,47.80%,FALSE,https://leetcode.com/problems/maximum-difference-score-in-a-grid/description,https://leetcode.com/problems/maximum-difference-score-in-a-grid/solutions,Edge Case Intensive
3149, Find the Minimum Cost Array Permutation,23.20%,FALSE,https://leetcode.com/problems/find-the-minimum-cost-array-permutation/description,https://leetcode.com/problems/find-the-minimum-cost-array-permutation/solutions,Hard
3149, Find the Minimum Cost Array Permutation,23.20%,FALSE,https://leetcode.com/problems/find-the-minimum-cost-array-permutation/description,https://leetcode.com/problems/find-the-minimum-cost-array-permutation/solutions,Optimization Required
3150, Invalid Tweets II,87.70%,TRUE,https://leetcode.com/problems/invalid-tweets-ii/description,https://leetcode.com/problems/invalid-tweets-ii/solutions,Easy
3151, Special Array I,75.80%,FALSE,https://leetcode.com/problems/special-array-i/description,https://leetcode.com/problems/special-array-i/solutions,Easy
3151, Special Array I,75.80%,FALSE,https://leetcode.com/problems/special-array-i/description,https://leetcode.com/problems/special-array-i/solutions,MultiConcept
3152, Special Array II,30.10%,FALSE,https://leetcode.com/problems/special-array-ii/description,https://leetcode.com/problems/special-array-ii/solutions,Tricky
3152, Special Array II,30.10%,FALSE,https://leetcode.com/problems/special-array-ii/description,https://leetcode.com/problems/special-array-ii/solutions,MultiConcept
3153, Sum of Digit Differences of All Pairs,43.70%,FALSE,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs/description,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs/solutions,Edge Case Intensive
3154, Find Number of Ways to Reach the K-th Stair,36.70%,FALSE,https://leetcode.com/problems/find-number-of-ways-to-reach-the-k-th-stair/description,https://leetcode.com/problems/find-number-of-ways-to-reach-the-k-th-stair/solutions,Hard
3155, Maximum Number of Upgradable Servers,47.70%,TRUE,https://leetcode.com/problems/maximum-number-of-upgradable-servers/description,https://leetcode.com/problems/maximum-number-of-upgradable-servers/solutions,Edge Case Intensive
3156, Employee Task Duration and Concurrent Tasks,57.10%,TRUE,https://leetcode.com/problems/employee-task-duration-and-concurrent-tasks/description,https://leetcode.com/problems/employee-task-duration-and-concurrent-tasks/solutions,Hard
3157, Find the Level of Tree with Minimum Sum,69.60%,TRUE,https://leetcode.com/problems/find-the-level-of-tree-with-minimum-sum/description,https://leetcode.com/problems/find-the-level-of-tree-with-minimum-sum/solutions,Edge Case Intensive
3158, Find the XOR of Numbers Which Appear Twice,82.00%,FALSE,https://leetcode.com/problems/find-the-xor-of-numbers-which-appear-twice/description,https://leetcode.com/problems/find-the-xor-of-numbers-which-appear-twice/solutions,Easy
3159, Find Occurrences of an Element in an Array,73.40%,FALSE,https://leetcode.com/problems/find-occurrences-of-an-element-in-an-array/description,https://leetcode.com/problems/find-occurrences-of-an-element-in-an-array/solutions,Edge Case Intensive
3159, Find Occurrences of an Element in an Array,73.40%,FALSE,https://leetcode.com/problems/find-occurrences-of-an-element-in-an-array/description,https://leetcode.com/problems/find-occurrences-of-an-element-in-an-array/solutions,MultiConcept
3160, Find the Number of Distinct Colors Among the Balls,41.20%,FALSE,https://leetcode.com/problems/find-the-number-of-distinct-colors-among-the-balls/description,https://leetcode.com/problems/find-the-number-of-distinct-colors-among-the-balls/solutions,Edge Case Intensive
3161, Block Placement Queries,14.20%,FALSE,https://leetcode.com/problems/block-placement-queries/description,https://leetcode.com/problems/block-placement-queries/solutions,Hard
3161, Block Placement Queries,14.20%,FALSE,https://leetcode.com/problems/block-placement-queries/description,https://leetcode.com/problems/block-placement-queries/solutions,Optimization Required
3162, Find the Number of Good Pairs I,86.70%,FALSE,https://leetcode.com/problems/find-the-number-of-good-pairs-i/description,https://leetcode.com/problems/find-the-number-of-good-pairs-i/solutions,Easy
3163, String Compression III,55.90%,FALSE,https://leetcode.com/problems/string-compression-iii/description,https://leetcode.com/problems/string-compression-iii/solutions,Edge Case Intensive
3164, Find the Number of Good Pairs II,25.70%,FALSE,https://leetcode.com/problems/find-the-number-of-good-pairs-ii/description,https://leetcode.com/problems/find-the-number-of-good-pairs-ii/solutions,Tricky
3164, Find the Number of Good Pairs II,25.70%,FALSE,https://leetcode.com/problems/find-the-number-of-good-pairs-ii/description,https://leetcode.com/problems/find-the-number-of-good-pairs-ii/solutions,Optimization Required
3165, Maximum Sum of Subsequence With Non-adjacent Elements,17.00%,FALSE,https://leetcode.com/problems/maximum-sum-of-subsequence-with-non-adjacent-elements/description,https://leetcode.com/problems/maximum-sum-of-subsequence-with-non-adjacent-elements/solutions,Hard
3165, Maximum Sum of Subsequence With Non-adjacent Elements,17.00%,FALSE,https://leetcode.com/problems/maximum-sum-of-subsequence-with-non-adjacent-elements/description,https://leetcode.com/problems/maximum-sum-of-subsequence-with-non-adjacent-elements/solutions,Optimization Required
3170, Lexicographically Minimum String After Removing Stars,35.90%,FALSE,https://leetcode.com/problems/lexicographically-minimum-string-after-removing-stars/description,https://leetcode.com/problems/lexicographically-minimum-string-after-removing-stars/solutions,Tricky
